conference,year,title,authors
Western Finance Association,2021,Do Bank Insiders Impede Equity Issuances?,Martin R. Goetz; Luc Laeven; Ross Levine
Western Finance Association,2021,Competing with Security Design,Yue Yuan
Western Finance Association,2021,"Mutual Fund Fragility, Dealer Liquidity Provisions, and the Pricing of Municipal Bonds",Yi Li; Maureen O’Hara; Xing Zhou
Western Finance Association,2021,Mutual Fund Liquidity Transformation and Reverse Flight to Liquidity,Yiming Ma; Kairong Xiao; Yao Zeng
Western Finance Association,2021,Dealers and the Dealer of Last Resort: Evidence from MBS Markets in the COVID-19 Crisis,Zhaogang Song; Jiakai Chen; Haoyang Liu; Asani Sarkar
Western Finance Association,2021,Is There Too Much Benchmarking in Asset Management?,Anil Kashyap; Natalia Kovrijnykh; Jian Li; Anna Pavlova
Western Finance Association,2021,Statistical Arbitrage with Uncertain Fat Tails,Bo Hu; Wen Chen
Western Finance Association,2021,Information Acquisition and the Pre-Announcement Drift,Hengjie Ai; Ravi Bansal; Leyla Jianyu Han
Western Finance Association,2021,CLO Performance,Larry Cordell; Michael Roberts; Michael Schwert
Western Finance Association,2021,The Externalities of Fire Sales: Evidence from Collateralized Loan Obligations,Shohini Kundu
Western Finance Association,2021,Fire-Sale Risk in the Leveraged Loan Market,Redouane Elkamhi; Yoshio Nozawa
Western Finance Association,2021,Opening up Military Innovation: Causal Effects of ‘Bottom-Up’ Reforms to U.S. Defense Research,Sabrina T. Howell; Jason Rathje; John Van Reenen; Jun Wong
Western Finance Association,2021,The Role of Assets In Place: Loss of Market Exclusivity and Investment,Matthew Higgins; Mathias Kronlund; Ji Min Park; Joshua Pollet
Western Finance Association,2021,Shared Culture and Technological Innovation: Evidence from Corporate R&D Teams,Tristan Fitzgerald; Xiaoding Liu
Western Finance Association,2021,"In the Red: Overdrafts, Payday Lending and the Underbanked",Emily Williams; Marco Di Maggio; Angela Ma
Western Finance Association,2021,Salience and Households’ Flood Insurance Decisions,Zhongchen Hu
Western Finance Association,2021,Reference Points in Refinancing Decisions,Virginia Gianinazzi
Western Finance Association,2021,Concealed Carry,Spencer Andrews; Riccardo Colacito; Mariano Croce; Federico Gavazzoni
Western Finance Association,2021,Pricing Currency Risks,Mikhail Chernov; Magnus Dahlquist; Lars A. Lochstoer
Western Finance Association,2021,Currency Management by International Fixed Income Mutual Funds,Clemens Sialm; Qifei Zhu
Western Finance Association,2021,"Global Capital and Local Assets: House Prices, Quantities, and Elasticities",Caitlin Gorback; Benjamin J. Keys
Western Finance Association,2021,House Price Contagion and U.S. City Migration Networks,Gregor Schubert
Western Finance Association,2021,Partisan Residential Sorting on Climate Change Risk,Asaf Bernstein; Stephen Billings; Matthew Gustafson; Ryan Lewis
Western Finance Association,2021,Corporate Taxes and Retail Prices,Scott R. Baker; Stephen Teng Sun; Constantine Yannelis
Western Finance Association,2021,"Higher Dividend Taxes, No Problem! Evidence from Taxing Entrepreneurs in France",Adrien Matray; Charles Boissel
Western Finance Association,2021,Are Bankruptcy Professional Fees Excessively High?,Samuel Antill
Western Finance Association,2021,Optimal Macroprudential Policy and Asset Price Bubbles,Nina Biljanovska; Lucyna Anna Gornicka; Alexandros Vardoulakis
Western Finance Association,2021,Distrust in Experts and the Origins of Disagreement,Ing-Haw Cheng; Alice Hsiaw
Western Finance Association,2021,Testing the Local Martingale Theory of Bubbles using Cryptocurrencies,Soon Hyeok Choi; Robert Jarrow
Western Finance Association,2021,Corporate Hiring under Covid-19,Murillo Campello; Gaurav Kankanhalli; Pradeep Muthukrishnan
Western Finance Association,2021,Firm Finances and the Spread of COVID-19: Evidence from Nursing Homes,Taylor Begley; Daniel Weagley
Western Finance Association,2021,"Reshaping the Local Marketplace: Financing, Independent Businesses, Large Firms, and COVID",Vojislav Maksimovic; Liu Yang
Western Finance Association,2021,Monetary Policy Transmission in Segmented Markets,Jens Eisenschmidt; Yiming Ma; Anthony Lee Zhang
Western Finance Association,2021,Heterogeneous Global Cycles,Maryam Farboodi; Peter Kondor
Western Finance Association,2021,Sovereign Default and the Decline in Interest Rates,Max Miller
Western Finance Association,2021,Internal and External Financing,James Paron; Jessica Wachter
Western Finance Association,2021,Stealth Acquisitions and Product Market Competition,Gerard T. Hoberg
Western Finance Association,2021,Segmented Going-Public Markets and the Demand for SPACs,John Kepler; Vic Naiker; Christopher Stewart
Western Finance Association,2021,Shrinking Boundary of the Invisible Hand,Jessica Bai; Angela Ma; Miles Zheng
Western Finance Association,2021,Fragile Liquidity,Dan Su
Western Finance Association,2021,Sophisticated and Unsophisticated Runs,Allaudeen Hameed
Western Finance Association,2021,Institutional Brokerage Networks: Facilitating Liquidity Provision,Tim Park
Western Finance Association,2021,Do Mortgage Lenders Compete Locally? Evidence Beyond Interest Rates,Marco Cipriani; Gabriele La Spada
Western Finance Association,2021,Inefﬁcient Regulation: Mortgages versus Total Credit,Andra Ghent
Western Finance Association,2021,The Mortgage Piggy Bank: Building Wealth through Amortization,Greg Buchak; Adam Jorring
Western Finance Association,2021,Shale Shocked: Cash Windfalls and Household Debt Repayment,Artashes Karapetyan; Jens Kvaerner; Maximilian Rohrer
Western Finance Association,2021,"Income Inequality, Debt Burden and COVID-19",Asaf Bernstein; Peter Koudijs
Western Finance Association,2021,Financial Media as a Money Doctor: Evidence from Reﬁnancing Decisions,Sumit Agarwal; J. Anthony Cookson; Erik Gilje; Rawley Heimer
Western Finance Association,2021,Does the Federal Reserve Obtain Competitive and Appropriate Prices in Monetary Policy Implementations?,Deeksha Gupta; Tetiana Davydiuk
Western Finance Association,2021,(Why) Do Central Banks Care About Their Proﬁts?,Lin Hu; Kun Li; Phong Ngo; Denis Sosyura
Western Finance Association,2021,Bank Stress Tests and Consumer Credit Markets: Credit and Real Impacts,Yu An; Zhaogang Song
Western Finance Association,2021,Information Premium and Macro Dynamics,Igor Goncharov; Vasso Ioannidou; Martin Schmalz
Western Finance Association,2021,Is The United States A Lucky Survivor: A Hierarchical Bayesian Approach,Hengjie Ai; Ravi Bansal; Jay Im; Chao Ying
Western Finance Association,2021,"Democratization, Inequality, and Risk Premia",Jules Van Binsbergen; Sophia Hua; Jessica Wachter
Western Finance Association,2021,Dissecting Mechanisms of Financial Crises: Intermediation and Sentiment,Max Miller
Western Finance Association,2021,A Macro-Finance Model with Sentiment,Arvind Krishnamurthy; Wenhao Li
Western Finance Association,2021,Financial Fragility with Collateral Circulation,Peter Maxted
Western Finance Association,2021,"Intermediated Asymmetric Information, Compensation, and Career Prospects",Cyril Monnet; Vincent Maurin; Piero Gottardi
Western Finance Association,2021,CEO Pet Projects,Dmitry Orlov; Ron Kaniel
Western Finance Association,2021,Executive Compensation: The Trend Toward One Size Fits All,Paul Décaire; Denis Sosyura
Western Finance Association,2021,Hedge Fund Performance under Misspeciﬁed Models,Felipe Cabezon
Western Finance Association,2021,The Hedge Fund Industry is Bigger (and Has Performed Better) Than You Think,David Ardia; Laurent Barras; Patrick Gagliardini; Olivier Scaillet
Western Finance Association,2021,Rush to Raise: Does Fundraising Pressure Incentivise Strategic Venture Capital Deal Pricing?,Daniel J. Barth; Mikko Kauppila; Juha Joenvaara; Russ Wermers
Western Finance Association,2021,Does Size Matter? The Real Effects of Subsidizing Small Firms,Peter Kien Pham; Nicholas Turner; Jason Zein
Western Finance Association,2021,Job Growth from Opportunity Zones,Matthew Denes; Ran Duchin; John Hackney
Western Finance Association,2021,Employment Effects of Alleviating Financing Frictions: Worker-level Evidence from a Loan Guarantee Program,Alina Arefeva; Morris Davis; Andra Ghent; Minseon Park
Western Finance Association,2019,"The WFA seeks to provide a safe, inclusive and productive meeting environment that fosters the exchange of scientiﬁc ideas, provides equal opportunities and treatment for all participants, and is free from discrimination and harassment.",
Western Finance Association,2022,"Submission of papers: Papers should be submitted electronically at the WFA web site, https://westernﬁnance.org, which will contain full instructions for submission, including required on-line registration, creation of the required cover page, the submission fee, and other vital instructions. We will begin taking submissions on or about October 1, 2021. The deadline for submissions is midnight PST, November 18, 2021. Papers will be reviewed anonymously by up to three members of the Program Committee, and authors will be notiﬁed of the Program Committee’s decisions by the end of March, 2022.",
Western Finance Association,2021,"The USC Marshall School of Business Trefftzs Award of $5,000 for the best student paper.",
Western Finance Association,2021,"Charles River Associates Award of $5,000 for the best paper on corporate ﬁnance.",
Western Finance Association,2021,"Elsevier Sponsored Award of $5,000 for the best paper on ﬁnancial institutions.",
Western Finance Association,2021,"PBCSF Award of $5,000 for the best paper in ﬁntech",
Western Finance Association,2021,"NASDAQ Award of $5,000 for the best paper on asset pricing.",
Western Finance Association,2021,"Two Sigma Award of $5,000 for the best paper on Investment Management.",
Western Finance Association,2021,"Wharton School – WRDS Award of $5,000 for the best empirical ﬁnance paper.",
Western Finance Association,2022,"Investor Demand, Financial Market Power, and Capital Misallocation",Jonathan Berk; Jaewon Choi; Mahyar Kargar; Xu Tian; Yufeng Wu
Western Finance Association,2022,Learning about the Consumption Risk Exposure of Firms,Yongjin Kim; Lars-Alexander Kuehn; Kai Li
Western Finance Association,2022,Feedback Effects with Risk Aversion: An Application to Climate Risk,Snehal Banerjee; Bradyn Breon-Drish; Kevin Smith
Western Finance Association,2022,Intermediary-Based Loan Pricing,Mitchell A. Petersen; Pierre Mabille; Olivier Wang
Western Finance Association,2022,Credit Fire Sales: Captive Lending as Liquidity in Distress,Matteo Benetton; Sergio Mayordomo; Daniel Paravisini
Western Finance Association,2022,"Loan Guarantees, Bank Lending and Credit Risk Reallocation",Andrew Ellul; Carlo Altavilla; Marco Pagano; Andrea Polo; Thomas Vlassopoulos
Western Finance Association,2022,Impact Investing and Venture Capital Industry: Experimental Evidence,Ayako Yasuda; Ye Zhang
Western Finance Association,2022,Are Carbon Emissions Associated with Stock Returns ?,Jitendra Aswani; Shivaram Rajgopal; Aneesh Raghunandan
Western Finance Association,2022,Fresh Start or Fresh Water: The Impact of Environmental Lender Liability,Aymeric Bellon
Western Finance Association,2022,Making Money,Ye Li
Western Finance Association,2022,Digital Currency Runs,Gary Gorton; Chase Ross; Sharon Ross; David Skeie
Western Finance Association,2022,Inflation and Individual Investors' Behavior: Evidence from the German Hyperinflation,Fabio Braggion; Felix von Meyerinck; Nic Schaub
Western Finance Association,2022,Bond Convenience Yields in the Eurozone Currency Union,Robert Goldstein; Zhengyang Jiang; Hanno Lustig; Stijn Van Nieuwerburgh; Mindy Z. Xiaolan
Western Finance Association,2022,Issuance and Valuation of Corporate Bonds with Quantitative Easing,Stefano Pegoraro; Mattia Montagna
Western Finance Association,2022,Risk-Free Rates and Convenience Yields Around the World,William Diamond; Peter Van Tassel
Western Finance Association,2022,Non-Standard Errors,Mikhail Chernov; Albert Menkveld; Anna Dreber; Felix Holzmeister; Juergen Huber; Magnus Johannesson
Western Finance Association,2022,Asset Pricing with Panel Tree under Global Split Criteria,Will Cong; Guanhao Feng; Jingyu He; Xin He
Western Finance Association,2022,Semiparametric Conditional Factor Models: Estimation and Inference,Qihui Chen; Nick Roussanov; Xiaoliang Wang
Western Finance Association,2022,"Global Sales, International Currencies and the Currency Denomination of Debt",Lars A. Lochstoer; Riccardo Colacito; Yan Qian; Andreas Stathopoulos
Western Finance Association,2022,How Can Asset Prices Value Exchange Rate Wedges?,Edith Liu; Karen Lewis
Western Finance Association,2022,International Trade and the Risk in Bilateral Exchange Rates,Ramin Hassan; Erik Loualiche; Alexandre R. Pecora; Colin Ward
Western Finance Association,2022,Flow Trading,Liyan Yang; Eric Budish; Peter Cramton; Albert Kyle; Jeongmin Lee; David Malec
Western Finance Association,2022,On the Effects of Continuous Trading,Ivan Indriawan; Roberto Pascual; Andriy Shkilko
Western Finance Association,2022,Risk Sharing in Time Priority Markets,Corey Garriott; Vincent van Kervel; Marius Zoican
Western Finance Association,2022,Crowding and Factor Returns,Nicolae Gârleanu; Wenjin Kang; K Geert Rouwenhorst; Ke Tang
Western Finance Association,2022,Investor Betas,Ryan Lewis; Shrihari Santosh
Western Finance Association,2022,Test Assets and Weak Factors,Stefano Giglio; Dacheng Xiu; Dake Zhang
Western Finance Association,2022,Constrained-Efficient Capital Reallocation,S. Abraham (Avri) Ravid; Andrea Lanteri; Adriano A. Rampini
Western Finance Association,2022,Credit Risk and the Life Cycle of Callable Bonds: Implications for Real Corporate Decisions,Bo Becker; Murillo Campello; Viktor Thell; Dong Yan
Western Finance Association,2022,Creating Controversy in Proxy Voting Advice,Andrey Malenko; Nadya Malenko; Chester S. Spatt
Western Finance Association,2022,Unpacking the Black Box: Regulating Algorithmic Decisions,Elena N. Asparouhova; Laura Blattner; Scott T. Nelson; Jann Spiess
Western Finance Association,2022,Does Floor Trading Matter?,Jonathan Brogaard; Matthew C. Ringgenberg; Dominik Rosch
Western Finance Association,2022,Financial Regulation and Automation Adoption: Evidence from Stock Trading Firms,Pedro Tremacoldi-Rossi
Western Finance Association,2022,"Cheapest-to-Deliver Pricing, Optimal MBS Securitization, and Market Quality",Barney Hartman-Glaser; Yesol Huh; You Suk Kim
Western Finance Association,2022,SPAC IPOs and Sponsor Network Centrality,Chen Lin; Fangzhou Lu; Roni Michaely; Shihua Qin
Western Finance Association,2022,Agency Conflicts in Securitization: Evidence from Ginnie Mae Early Buyouts,Arka Prava Bandyopadhyay
Western Finance Association,2022,A Portfolio Approach to Global Imbalances,Burton Hollifield; Zhengyang Jiang; Robert Richmond; Tony Zhang
Western Finance Association,2022,Beyond Incomplete Spanning: Convenience Yields and Exchange Rate Disconnect,Zhengyang Jiang; Arvind Krishnamurthy; Hanno Lustig; Jialu Sun
Western Finance Association,2022,"US Global Shock Exposures, Recursive Preferences and International Asset Pricing",Sun Yong Kim
Western Finance Association,2022,"How Competitive is the Stock Market? Theory, Evidence from Portfolios, and Implications for the Rise of Passive Investing",Joel Hasbrouck; Valentin Haddad; Paul Huebner; Erik Loualiche
Western Finance Association,2022,Trading Fees and Intermarket Competition,Marios Panayides; Barbara Rindi; Ingrid M. Werner
Western Finance Association,2022,Quote Competition in Corporate Bonds,Terrence Hendershott; Dan Li; Dmitry Livdan; Norman Schürhoff; Kumar Venkataraman
Western Finance Association,2022,What Drives Investors' Portfolio Choices? Separating Risk Preferences from Frictions,Michaela Pagel; Taha Choukhmane; Tim de Silva
Western Finance Association,2022,Disposed to Be Overconfident,Katrin Gödker; Terrance Odean
Western Finance Association,2022,The Mortgage-Cash Premium Puzzle,Michael Reher; Rossen Valkanov
Western Finance Association,2022,The Epidemiology of Financial Constraints,Yuri Tserlukevich
Western Finance Association,2022,Segmented Arbitrage,Ioannis Spyridopoulos; Morad Zekhnini; William Grieser
Western Finance Association,2022,"Capital Quality, Productivity, and Financial Constraints: Evidence from India",Emil Siriwardane; Aditya Sunderam; Jonathan Wallen
Western Finance Association,2022,Green Image in Supply Chains: Selective Disclosure of Corporate Suppliers,Poorya Kabir; Seyed Mohammad Mansouri
Western Finance Association,2022,The Impact of Impact Investing,Yilin Shi; Jing Wu; Yu Zhang
Western Finance Association,2022,Exit vs. Voice,Jonathan Berk; Jules Van Binsbergen
Western Finance Association,2022,Crowded Ratings: Clientele Effects in the Corporate Bond Market,Eleonora Broccardo; Oliver Hart; Luigi Zingales
Western Finance Association,2022,Public Employee Pensions and Municipal Insolvency,Naveen Khanna; Francisco Gomes; Ryan Lewis; Jordan Nickerson
Western Finance Association,2022,Bank Loan Funds: Discretionary Values as a Source of Stability,Sean Myers
Western Finance Association,2022,"Demand Elasticities, Nominal Rigidities and Asset Prices",Mustafa Emin; Christopher M. James
Western Finance Association,2022,Price Rigidities and Credit Risk,Nuno Clara
Western Finance Association,2022,Technology-Skill Complementarity and Labor Displacement: Evidence from Linking Two Centuries of Patents with Occupations,Patrick Augustin; Francis Cong; Alexandre Corhay; Michael Weber
Western Finance Association,2022,Let the Worst One Fail: A Credible Solution to the Too-Big-To-Fail Conundrum,Leonid Kogan; Dimitris Papanikolaou; Lawrence D. W. Schmidt; Bryan Seegmiller
Western Finance Association,2022,Population Aging and Bank Risk-Taking,Thomas Philippon; Olivier Wang
Western Finance Association,2022,Bank Consolidation and Uniform Pricing,Sebastian Doerr; Gazi Kaba¸s; Steven Ongena
Western Finance Association,2022,What Drives Variation in the U.S. Debt/Output Ratio? The Dogs that Didn’t Bark,Joao Granja; Nuno Paixao
Western Finance Association,2022,Government Debt Management and Inﬂation with Real and Nominal Bonds,Zhengyang Jiang; Hanno Lustig; Stijn Van Nieuwerburgh; Mindy Z. Xiaolan
Western Finance Association,2022,The Debt Capacity of a Government,Alessandro Villa; Vytautas Valaitis; Lukas Schmid
Western Finance Association,2022,Information-Driven Volatility,Bernard Dumas; Paul Ehling; Chunyu Yang
Western Finance Association,2022,Three Common Factors,Hengjie Ai; Leyla Jianyu Han; Lai Xu
Western Finance Association,2022,Extrapolative Market Participation,Elena Andreou; Patrick Gagliardini; Eric Ghysels; Mirco Rubin
Western Finance Association,2022,Raising Capital from Investor Syndicates with Strategic Communication,Wanbin Pan; Zhiwei Su; Huijun Wang; Jianfeng Yu
Western Finance Association,2022,Reputation Spillovers in Venture Capital: Evidence from a Randomized Field Experiment,Dan Luo
Western Finance Association,2022,Strategic Learning and Corporate Investment,Shai Bernstein; Kunal Mehta; Richard Townsend; Ting Xu
Western Finance Association,2022,Uninformed but Predictable: Corporate Trading and Price Discovery in Over-the-counter FX Markets,Paul Décaire; Michael D. Wittry
Western Finance Association,2022,The Value of Off-Exchange Data,Umang Khetan; Petra Sinagl
Western Finance Association,2022,Spooﬁng in Equilibrium,Thomas Ernst; Jonathan Sokobin; Chester S. Spatt
Western Finance Association,2022,Reserves Were Not So Ample After All,Basil Williams; Andrzej Skrzypacz
Western Finance Association,2022,"Central Bank Communication Choices: Adverse Selection, Volatility and Liquidity in a Market With Fast and Slow Traders",Adam Copeland; Darrell Dufﬁe; Yilin (David) Yang
Western Finance Association,2022,What Quantity of Reserves Is Sufﬁcient?,Hedi Benamar; Clara Vega; Alain Chaboud
Western Finance Association,2022,CEO Compensation: Evidence From the Field,Yilin (David) Yang
Western Finance Association,2022,The Short-Termism Trap: Competition for Informed Investors under Stock-Based CEO Compensation,Alex Edmans; Tom Gosling; Dirk Jenter
Western Finance Association,2022,Regulating CEO Pay: Evidence from the Nonproﬁt Revitalization Act,James Dow; Jungsuk Han; Francesco Sangiorgi
Western Finance Association,2022,The Market Inside the Market: Odd-lot Quotes,Ilona Babenko; Benjamin Bennett; Rik Sen
Western Finance Association,2022,"High-Frequency Trading, For-Proﬁt Exchanges, and Endogenous Delays",Robert Bartlett; Justin McCreary; Maureen O’Hara
Western Finance Association,2022,Competition and Exchange Data Fees,Jun Aoyagi
Western Finance Association,2022,Competition and the Reputational Costs of Litigation,Jonathan Brogaard; James Brugler; Dominik Rosch
Western Finance Association,2022,Financing the Litigation Arms Race,Felix von Meyerinck; Vesa Pursiainen; Markus Schmid
Western Finance Association,2022,Do Health Risks Shape Firm Boundaries?,Samuel Antill; Steven Grenadier
Western Finance Association,2022,Who Beneﬁts from Retirement Saving Incentives in the U.S.? Evidence on Racial Gaps in Retirement Wealth Accumulation,Adrian Lam
Western Finance Association,2022,Gender Bias in Promotions: Evidence from Financial Institutions,Taha Choukhmane; Jorge Colmenares; Cormac O’Dea; Jonathan Rothbaum; Lawrence D. W. Schmidt
Western Finance Association,2022,Hidden Alpha,Ruidi Huang; Erik Mayer; Darius Miller
Western Finance Association,2022,On the Road to Better Governance: Private Meetings and Mutual Fund Voting,Alexander Cochardt; Lauren H. Cohen; Stephan Heller
Western Finance Association,2022,Passive Ownership and Price Informativeness,Jesse Ellis; William Gerken; Russell Jame
Western Finance Association,2022,Liquidity Provision to Leveraged ETFs and Equity Options Rebalancing Flows - Evidence from End-of-Day Stock Prices,Marco Sammon
Western Finance Association,2022,Short-Squeeze Bubbles,Andrea Barbon; Heiner Beckmeyer; Andrea Buraschi; Mathis Moerke
Western Finance Association,2022,A Long and a Short Leg Make For a Wobbly Equilibrium,Bernardo Guimaraes; Pierluca Pannella
Western Finance Association,2022,Squeezing Shorts Through Social Media Platforms,Nicolae Gârleanu; Stavros Panageas; Geoffery X. Zheng
Western Finance Association,2022,Bank Incentives and the Effect of the Paycheck Protection Program,Franklin Allen; Marlene Haas; Eric Nowak; Matteo Pirovan; Angel Tengulov
Western Finance Association,2022,"The Core, the Periphery, and the Disaster: Corporate-Sovereign Nexus in COVID-19 Times",Gustavo Joaquim; Felipe Netto
Western Finance Association,2022,Do Credit Markets Respond to Macroeconomic Shocks? The Case for Reverse Causality,Ruggero Jappelli; Loriana Pelizzon; Alberto Plazzi
Western Finance Association,2022,Heterogeneous Investors and Stock Market Fluctuations,Giorgio Ottonello; Martijn Boons; Rossen Valkanov
Western Finance Association,2022,The Real Channel for Nominal Bond-Stock Puzzles,Sebastian Hillenbrand; Odhrain McCarthy
Western Finance Association,2022,Dynamics of Asset Demands with Conﬁdence Heterogeneity,Mikhail Chernov; Lars A. Lochstoer; Dongho Song
Western Finance Association,2022,Measuring the Welfare Cost of Asymmetric Information in Consumer Credit Markets,Adrian Buss; Raman Uppal; Grigory Vilkov
Western Finance Association,2022,The Cost of Consumer Collateral: Evidence from Bunching,Anthony DeFusco; Huan Tang; Constantine Yannelis
Western Finance Association,2022,Mortgage Leverage and House Prices,Benjamin Collier; Cameron M. Ellis; Benjamin J. Keys
Western Finance Association,2022,The Rise of Reddit: How Social Media Affects Retail Investors and Short-sellers’ Roles in Price Discovery,Stephanie Johnson
Western Finance Association,2022,Should Retail Investors Listen to Social Media Analysts? Evidence from Text-Implied Beliefs,Danqi Hu; Charles M. Jones; Valerie Zhang; Xiaoyan Zhang
Western Finance Association,2022,Political Polarization in Financial News,Chukwuma Dim
Western Finance Association,2022,The Effects of Going Public on Firm Performance and Commercialization Strategy: Evidence from International IPOs,Eitan Goldman; Nandini Gupta; Ryan Israelsen
Western Finance Association,2022,Hype Cycles: Dynamic Information Design with Two Audiences,Borja Larrain; Gordon M. Phillips; Giorgo Sertsios; Francisco Urzua
Western Finance Association,2022,What Works Best in Capital Budgeting?,Xuelin Li; Martin Szydlowski; Fangyuan Yu
Western Finance Association,2022,Maturity Increasing Overreaction and Bond Market Puzzles,Nicolas Hommel; Augustin Landier; David Thesmar
Western Finance Association,2022,Demand-Supply Imbalance Risk and Long-Term Swap Spreads,Daniele d’Arienzo
Western Finance Association,2022,Can Monetary Policy Create Fiscal Capacity?,Sam Hanson; Aytek Malkhozov; Gyuri Venter
Western Finance Association,2022,The Inference-Forecast Gap in Belief Updating,Vadim Elenev; Tim Landvoigt; Patrick J. Shultz; Stijn Van Nieuwerburgh
Western Finance Association,2022,Sluggish Price Reaction to Salient and Repeated Macroeconomic Releases,Tony Fan; Yucheng Liang; Cameron Peng
Western Finance Association,2022,Human Frictions in the Transmission of Economic Policy,Jian Feng; Shiyang Huang; Jiacui Li; Yang Song
Western Finance Association,2022,Equilibrium Staking Levels in a Proof-of-Stake Blockchain,Francesco D’Acunto; Daniel Hoang; Maritta Paloviita; Michael Weber
Western Finance Association,2022,The Rise of Finance Companies and FinTech Lenders in Small Business Lending,Kose John; Thomas Rivera; Fahad Saleh
Western Finance Association,2022,Fintech Expansion,Manasa Gopal; Philipp Schnabl
Western Finance Association,2022,"Corporate Tax Avoidance, Firm Size, and Capital Misallocation",Jing Huang
Western Finance Association,2022,How Does Removing the Tax Beneﬁts of Debt Affect Firms? Evidence from the 2017 US Tax Reform,Brent Glover; Oliver Levine
Western Finance Association,2022,"Tax Incentives, Small Businesses, and Physical Capital Reallocation",Ali Sanati
Western Finance Association,2022,Paying off the Competition: Market Power and Innovation Incentives,Doyeon Kim; Manpreet Singh; Riddha Basu
Western Finance Association,2022,Pay to Play in Investment Management,Xuelin Li; Andrew W. Lo; Richard Thakor
Western Finance Association,2022,Did FinTech Lenders Facilitate PPP Fraud?,William C. Beggs; Thuong Harvison
Western Finance Association,2022,Entrepreneurship and the Platform Economy: Evidence from U.S. Tax Returns,John M. Grifﬁn; Samuel Kruger; Prateek Mahajan
Western Finance Association,2022,The Distributional Impact of the Sharing Economy on the Housing Market,Matthew Denes; Spyridon Lagaras; Margarita Tsoutsoura
Western Finance Association,2022,The Conglomerate Network,Sophie Calder-Wang
Western Finance Association,2022,A Quantity-Based Approach to Constructing Climate Risk Hedge Portfolios,Kenneth Ahern; Lei Kong; Xinyan Yan
Western Finance Association,2022,The Optimal Design of Green Securities,Georgij Alekseev; Stefano Giglio; Quinn Maingi; Julia Selgrad; Johannes Stroebel
Western Finance Association,2022,A Corporate Finance Perspective on Environmental Policy,Adelina Barbalau; Federica Zeni
Western Finance Association,2022,Treasury Bill Shortages and the Pricing of Short-Term Assets,Florian Heider; Roman Inderst
Western Finance Association,2022,Asymmetric Monetary Policy Expectations,Quentin Vandeweyer; Adrien d’Avernas
Western Finance Association,2022,The Fed and the Secular Decline in Interest Rates,Anthony Diercks; Hiroatsu Tanaka; Paul Cordova
Western Finance Association,2022,"Creditor Rights, Collateral Reuse, and Credit Supply",Sebastian Hillenbrand
Western Finance Association,2022,Information Frictions in Credit Markets,Brittany Lewis
Western Finance Association,2022,Dissecting Lender Market Power in Distressed Loan Pricing,Clément Mazet-Sonilhac
Western Finance Association,2022,Index Providers: Whales Behind the Scenes of ETFs,Winston Dou; Wei Wang; Wenyu Wang
Western Finance Association,2022,The Market for Fund Benchmarks: Evidence from ETFs,Yang Song; Matteo Benetton; Yu An
Western Finance Association,2022,Returns to Scale among Corporate Bond Mutual Funds,Leonard Kostovetsky; Jerold Warner
Western Finance Association,2022,Dividend Momentum and Stock Return Predictability: A Bayesian Approach,Zhen Yan
Western Finance Association,2022,Finite Sample Analysis of Predictive Regressions with Long-Horizon Returns,Juan Antolin-Diaz; Ivan Petrella; Juan Rubio-Ramirez
Western Finance Association,2022,Expectation-Driven Term Structure of Equity and Bond Yields,Raymond Kan; Jiening Pan
Western Finance Association,2022,Consumption out of Fictitious Capital Gains and Selective Inattention,Guihai Zhao; Ming Zeng
Western Finance Association,2022,Propagating Experiences by Competing: Micro-Level Evidence from Real Estate,Benjamin Loos; Steffen Meyer; Michaela Pagel
Western Finance Association,2022,Macroeconomic Expectations and Credit Card Spending,Christopher Parsons; Mikhail Galashin; Martin Kanz; Ricardo Perez-Truglia
Western Finance Association,2023,"The USC Marshall School of Business Trefftzs Award of $5,000 for the best student paper.",
Western Finance Association,2023,"Charles River Associates Award of $5,000 for the best paper on corporate finance.",
Western Finance Association,2023,"Elsevier Sponsored Award of $5,000 for the best paper on financial institutions.",
Western Finance Association,2023,"PBCSF Award of $5,000 for the best paper in fintech",
Western Finance Association,2023,"NASDAQ Award of $5,000 for the best paper on asset pricing.",
Western Finance Association,2023,"Two Sigma Award of $5,000 for the best paper on Investment Management.",
Western Finance Association,2023,"Wharton School - WRDS Award of $5,000 for the best empirical finance paper.",
Western Finance Association,2023,The Brattle Group Ph.D. Candidate Awards.,
