rank,conference,code,ft50_rate,top3_rate,ft50_papers,top3_papers,presented,years,source
31,Financial Research Association Meeting,FRA,0.4316,0.3579,41,34,95,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
32,MoFiR Workshop on Banking,MOFIR,0.4242,0.2424,14,8,33,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
33,Northern Finance Association,NFA,0.4170,0.2433,329,192,789,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
34,China International Conference in Finance,CICF,0.3827,0.1959,674,345,1761,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
35,FDIC Consumer Research Symposium,FDIC,0.2857,0.1538,26,14,91,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
36,CREDIT Conference (Venice),CREDIT,0.2857,0.1524,30,16,105,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
37,Boulder Summer Conference on Consumer Financial Decision Making,BOULDER,0.2752,0.1544,41,23,149,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
38,Paris December Finance Meeting,Paris_Dec,0.2586,0.1322,219,112,847,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
39,Swiss Society for Financial Market Research (SGF),SGF,0.2543,0.1186,148,69,582,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
40,Midwest Finance Association,MFA,0.2534,0.1259,755,375,2979,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
41,FMA Asia/Pacific Conference,FMA_ASIA,0.2158,0.0752,175,61,811,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
42,Asia-Pacific Financial Markets (CAFM),CAFM,0.1973,0.0684,101,35,512,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
43,German Finance Association (DGF),DGF,0.1963,0.0982,64,32,326,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
44,Society for Financial Econometrics,SOFIE,0.1781,0.0909,96,49,539,2013-2022,"Hou, Smajlbegovic & Urban (2025) JEF; aggregate data CC via danielurban-finance.github.io"
